Name,Brand,Model,Battery capacity (mAh),Screen size (inches),Touchscreen,Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,USD,Date,Adjusted USD,Log Price
HTC U Ultra,HTC,U Ultra,3000,5.7,Yes,1440,2560,4,4000,64,12,16,Android,Yes,Yes,Yes,2,Yes,Yes,54665,$749 ,17-Feb,948.234,6.854601307
Cat S60,Cat,S60,3800,4.7,Yes,720,1280,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,39999,$600 ,17-Feb,759.6,6.632791979
Sony Xperia XA1 Ultra,Sony,Xperia XA1 Ultra,2700,6,Yes,1080,1920,8,4000,64,23,16,Android,Yes,Yes,Yes,2,No,Yes,5994,$400 ,17-Feb,506.4,6.227326871
Honor 8 Lite,Honor,8 Lite,3000,5.2,Yes,1080,1920,8,4000,64,12,8,Android,Yes,Yes,No,2,Yes,Yes,14933,$260 ,17-Feb,329.16,5.796543955
Vivo Y55s,Vivo,Y55s,2730,5.2,Yes,1280,720,4,3000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,10990,$160 ,17-Feb,202.56,5.311036139
Intex Aqua Supreme+,Intex,Aqua Supreme+,3000,5,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,8200,$150 ,17-Feb,189.9,5.246497618
ZTE Blade A2 Plus,ZTE,Blade A2 Plus,5000,5.5,Yes,1080,1920,8,4000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,12499,$180 ,17-Feb,227.88,5.428819175
Asus ZenFone Live,Asus,ZenFone Live,2650,5,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,4599,$191 ,17-Feb,241.806,5.488135752
Intex Aqua Crystal,Intex,Aqua Crystal,2100,5,Yes,720,1280,4,1000,8,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,6000,$105 ,17-Feb,132.93,4.889822674
Alcatel A5 LED,Alcatel,A5 LED,2800,5.2,Yes,720,1280,8,3000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,15026,$210 ,17-Feb,265.86,5.582969854
Sony Xperia XA1,Sony,Xperia XA1,2300,5,Yes,720,1280,8,3000,32,23,8,Android,Yes,Yes,No,2,No,Yes,7994,$300 ,17-Feb,379.8,5.939644798
Swipe Elite 3,Swipe,Elite 3,2500,5,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,5999,$80 ,17-Feb,101.28,4.617888958
Nokia 5,Nokia,5,3000,5.2,Yes,720,1280,8,2000,16,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,8999,$200 ,17-Feb,253.2,5.53417969
Swipe Konnect Star,Swipe,Konnect Star,1800,4,Yes,480,854,4,1000,16,5,1.3,Android,Yes,Yes,No,2,Yes,Yes,2690,$70 ,17-Feb,88.62,4.484357566
Asus ZenFone Go 5.0 LTE (ZB500KL),Asus,ZenFone Go 5.0 LTE (ZB500KL),2600,5,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,4999,$150 ,17-Feb,189.9,5.246497618
Intex Aqua Lions 4G,Intex,Aqua Lions 4G,2000,5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,Yes,4400,$80 ,17-Feb,101.28,4.617888958
Intex Aqua 4.0,Intex,Aqua 4.0,1500,4,Yes,360,640,4,512,4,2,0.3,Android,Yes,Yes,Yes,2,Yes,Yes,4095,$60 ,17-Feb,75.96,4.330206886
Intex Aqua Amaze+,Intex,Aqua Amaze+,2000,4.7,Yes,720,1280,4,1000,8,5,5,Android,Yes,Yes,Yes,2,Yes,Yes,4050,$90 ,17-Feb,113.94,4.735671994
Samsung Galaxy C7 Pro,Samsung,Galaxy C7 Pro,3300,5.7,Yes,1080,1920,1,4000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,16999,$400 ,17-Jan,506.4,6.227326871
Vivo V5 Plus,Vivo,V5 Plus,3055,5.5,Yes,1080,1920,8,4000,64,16,20,Android,Yes,Yes,Yes,2,Yes,Yes,12500,$400 ,17-Jan,506.4,6.227326871
Nokia 6,Nokia,6,3000,5.5,Yes,1080,1920,8,2000,16,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,7250,$230 ,17-Jan,291.18,5.673941633
Samsung Galaxy A7 (2017),Samsung,Galaxy A7 (2017),3600,5.7,Yes,1080,1920,8,3000,32,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,25900,$400 ,17-Jan,506.4,6.227326871
Samsung Galaxy A5 (2017),Samsung,Galaxy A5 (2017),3000,5.2,Yes,1080,1920,8,3000,32,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,18999,$380 ,17-Jan,481.08,6.176033576
Swipe Elite Power,Swipe,Elite Power,4000,5.5,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,4499,$110 ,17-Jan,139.26,4.93634269
Lava X41+,Lava,X41+,2500,5,Yes,720,1280,4,2000,8,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,5599,$120 ,17-Jan,151.92,5.023354067
Intex Cloud Style 4G,Intex,Cloud Style 4G,2500,5,Yes,720,1280,4,1000,8,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,6199,$75 ,17-Jan,94.95,4.553350437
Micromax Vdeo 3,Micromax,Vdeo 3,2000,5,Yes,720,1280,1,1000,8,5,2,Android,Yes,Yes,Yes,1,No,No,4499,$70 ,17-Jan,88.62,4.484357566
Micromax Vdeo 4,Micromax,Vdeo 4,4000,5,Yes,720,1280,1,1000,8,8,2,Android,Yes,Yes,Yes,1,Yes,Yes,3999,$80 ,17-Jan,101.28,4.617888958
Samsung Galaxy J2 Ace,Samsung,Galaxy J2 Ace,2600,5,Yes,540,960,1,1000,8,8,5,Android,Yes,No,No,2,No,No,5990,$125 ,17-Jan,158.25,5.064176061
Swipe Konnect Grand,Swipe,Konnect Grand,2500,5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,No,No,2999,$65 ,17-Jan,82.29,4.410249594
Xolo Era 2X,Xolo,Era 2X,2500,5,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,6099,$90 ,17-Jan,113.94,4.735671994
Samsung Galaxy On Max,Samsung,Galaxy On Max,3300,5.7,Yes,1080,1920,8,4000,32,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,9890,$260 ,17-Jul,329.16,5.796543955
Karbonn K9 Kavach 4G,Karbonn,K9 Kavach 4G,2300,5,Yes,720,1280,4,1000,8,5,5,Android,Yes,Yes,Yes,2,Yes,Yes,3399,$100 ,17-Jul,126.6,4.84103251
Ziox Astra Titan 4G,Ziox,Astra Titan 4G,3000,5,Yes,720,1280,4,1000,16,5,5,Android,Yes,Yes,Yes,2,Yes,Yes,3499,$90 ,17-Jul,113.94,4.735671994
Meizu Pro 7,Meizu,Pro 7,3000,5.2,Yes,1080,1920,8,4000,64,12,16,Android,Yes,No,Yes,2,No,No,28000,$430 ,17-Jul,544.38,6.299647532
Yu Yunique 2,Yu,nique 2,2500,5,Yes,720,1280,4,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,4499,$80 ,17-Jul,101.28,4.617888958
Lyf C459,Lyf,C459,2000,4.5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,No,Yes,3590,$55 ,17-Jul,69.63,4.243195509
Samsung Galaxy J7 Nxt,Samsung,Galaxy J7 Nxt,3000,5.5,Yes,720,1280,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,10990,$180 ,17-Jul,227.88,5.428819175
Intex Aqua Lions 3,Intex,Aqua Lions 3,4000,5,Yes,720,1280,4,2000,16,8,8,Android,Yes,Yes,Yes,1,No,No,5440,$90 ,17-Jul,113.94,4.735671994
iVoomi Me5,iVoomi,Me5,3000,5,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,3290,$80 ,17-Jul,101.28,4.617888958
iVoomi Me4,iVoomi,Me4,2000,4.5,Yes,480,854,4,1000,8,5,5,Android,Yes,Yes,Yes,2,Yes,Yes,3450,$70 ,17-Jul,88.62,4.484357566
Intex Aqua Zenith,Intex,Aqua Zenith,2000,5,Yes,480,854,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,Yes,4099,$80 ,17-Jul,101.28,4.617888958
Micromax Canvas 1,Micromax,Canvas 1,2500,5,Yes,720,1280,4,2000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,3690,$100 ,17-Jul,126.6,4.84103251
