Name,Brand,Model,Battery capacity (mAh),Screen size (inches),Touchscreen,Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Operating system,Wi-Fi,Bluetooth,GPS,Number of SIMs,3G,4G/ LTE,Price,USD,Date,Adjusted USD,Log Price
Samsung Galaxy Note 10+,Samsung,Galaxy Note 10+,4300,6.8,Yes,1440,3040,8,12000,256,12,10,Android,Yes,Yes,Yes,2,Yes,Yes,79699,"$1,099 ",19-Aug,1342.978,7.202644815
Oppo Reno 2Z,Oppo,Reno 2Z,4000,6.53,Yes,1080,2340,8,8000,256,48,16,Android,Yes,Yes,No,1,No,No,23100,$420 ,19-Aug,513.24,6.240743572
Redmi Note 8 Pro,Xiaomi,Redmi Note 8 Pro,4500,6.53,Yes,1080,2340,8,6000,64,64,20,Android,Yes,Yes,Yes,2,Yes,Yes,13999,$200 ,19-Aug,244.4,5.498806227
Samsung Galaxy A50s,Samsung,Galaxy A50s,4000,6.4,Yes,1080,2340,8,4000,128,48,32,Android,Yes,Yes,Yes,2,Yes,Yes,16650,$350 ,19-Aug,427.7,6.058422015
Realme 5 Pro,Realme,5 Pro,4035,6.3,Yes,1080,2340,8,4000,64,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,11999,$200 ,19-Aug,244.4,5.498806227
Realme 5,Realme,5,5000,6.5,Yes,720,1600,8,3000,32,12,13,Android,Yes,Yes,Yes,2,Yes,Yes,8600,$140 ,19-Aug,171.08,5.142131283
Redmi Note 8,Xiaomi,Redmi Note 8,4000,6.3,Yes,1080,2280,8,3000,32,48,13,Android,Yes,Yes,Yes,2,Yes,Yes,9195,$140 ,19-Aug,171.08,5.142131283
Motorola One Action,Motorola,One Action,3500,6.3,Yes,1080,2520,8,4000,128,12,12,Android,Yes,Yes,Yes,2,Yes,Yes,9999,$260 ,19-Aug,317.72,5.761170492
Oppo Reno 2F,Oppo,Reno 2F,4000,6.53,Yes,1080,2340,8,8000,128,48,16,Android,Yes,Yes,No,1,No,No,20900,$370 ,19-Aug,452.14,6.113991866
Samsung Galaxy A30s,Samsung,Galaxy A30s,4000,6.4,Yes,720,1560,8,4000,64,25,16,Android,Yes,Yes,Yes,2,Yes,Yes,13980,$240 ,19-Aug,293.28,5.681127784
Lava Z93,Lava,Z93,3500,6.22,Yes,720,1520,8,3000,32,13,8,Android,Yes,Yes,Yes,2,No,No,8099,$115 ,19-Aug,140.53,4.945420989
HTC Wildfire X,HTC,Wildfire X,3300,6.22,Yes,720,1520,8,3000,32,12,8,Android,Yes,Yes,No,2,Yes,Yes,7999,$140 ,19-Aug,171.08,5.142131283
Samsung Galaxy A10s,Samsung,Galaxy A10s,4000,6.2,Yes,720,1520,8,2000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,8499,$135 ,19-Aug,164.97,5.105763639
Samsung Galaxy Note 10,Samsung,Galaxy Note 10,3500,6.3,Yes,1080,2280,8,8000,256,12,10,Android,Yes,Yes,Yes,2,Yes,Yes,69999,$949 ,19-Aug,1159.678,7.055897659
Huawei Y9 Prime 2019,Huawei,Y9 Prime 2019,4000,6.59,Yes,1080,2340,8,4000,128,16,16,Android,Yes,Yes,No,2,Yes,Yes,14450,$225 ,19-Aug,274.95,5.616589263
Vivo V17,Vivo,V17,4500,6.44,Yes,1080,2400,8,8000,128,48,32,Android,Yes,Yes,Yes,2,Yes,Yes,21150,$350 ,19-Dec,427.7,6.058422015
Nokia 2.3,Nokia,2.3,4000,6.2,Yes,720,1520,4,2000,32,13,5,Android,Yes,Yes,No,2,Yes,Yes,7149,$120 ,19-Dec,146.64,4.987980604
Vivo V15 Pro,Vivo,V15 Pro,3700,6.39,Yes,1080,2340,8,6000,128,48,32,Android,Yes,Yes,Yes,2,Yes,Yes,17973,$400 ,19-Feb,488.8,6.191953408
Infinix Hot 7 Pro,Infinix,Hot 7 Pro,4000,6.19,Yes,720,1500,8,6000,64,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,10999,$120 ,19-Feb,146.64,4.987980604
Samsung Galaxy M10,Samsung,Galaxy M10,3400,6.22,Yes,720,1520,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,6999,$130 ,19-Feb,158.86,5.068023311
Gionee F205 Pro,Gionee,F205 Pro,3000,5.45,Yes,720,1440,4,2000,16,13,5,Android,Yes,Yes,Yes,1,No,No,4488,$77 ,19-Feb,94.094,4.544294283
Tecno Camon iAce 2X,Tecno,Camon iAce 2X,3050,5.5,Yes,720,1440,4,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,5899,$100 ,19-Feb,122.2,4.805659047
Tecno Camon iAce 2,Tecno,Camon iAce 2,3050,5.5,Yes,720,1440,4,2000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,5199,$85 ,19-Feb,103.87,4.643140117
Coolpad Cool 3,Coolpad,Cool 3,3000,5.71,Yes,720,1520,8,3000,32,8,5,Android,Yes,Yes,No,2,No,No,4649,$85 ,19-Feb,103.87,4.643140117
Motorola Moto G7 Power,Motorola,Moto G7 Power,5000,6.2,Yes,720,1520,8,3000,32,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,10870,$250 ,19-Feb,305.5,5.721949779
Motorola Moto G7,Motorola,Moto G7,3000,6.2,Yes,1080,2270,8,4000,64,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,8961,$300 ,19-Feb,366.6,5.904271335
Redmi Note 7,Xiaomi,Redmi Note 7,4000,6.3,Yes,1080,2340,8,3000,32,12,13,Android,Yes,Yes,Yes,2,Yes,Yes,9699,$150 ,19-Jan,183.3,5.211124155
Samsung Galaxy M20,Samsung,Galaxy M20,5000,6.3,Yes,1080,2340,8,3000,32,13,8,Android,No,Yes,Yes,2,Yes,Yes,9999,$150 ,19-Jan,183.3,5.211124155
Redmi Go,Xiaomi,Redmi Go,3000,5,Yes,720,1280,4,1000,8,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,4499,$90 ,19-Jan,109.98,4.700298531
Vivo Y91,Vivo,Y91,4030,6.22,Yes,720,1520,8,2000,32,13,8,Android,Yes,Yes,No,2,Yes,Yes,8349,$150 ,19-Jan,183.3,5.211124155
Itel A44 Air,Itel,A44 Air,2400,5.45,Yes,480,960,4,1000,8,5,2,Android,Yes,Yes,Yes,2,Yes,Yes,3751,$65 ,19-Jan,79.43,4.374876131
Oppo R15 Pro,Oppo,R15 Pro,3400,6.28,Yes,1080,2280,8,6000,128,20,20,Android,Yes,Yes,Yes,2,Yes,Yes,14299,$400 ,19-Jan,488.8,6.191953408
10.or G2,10.or,G2,5000,6.18,Yes,1080,2246,8,4000,64,16,12,Android,Yes,Yes,Yes,2,Yes,Yes,7999,$160 ,19-Jan,195.52,5.275662676
Xolo Era 4X,Xolo,Era 4X,3000,5.45,Yes,720,1440,4,1000,16,8,5,Android,Yes,Yes,Yes,2,Yes,Yes,3999,$70 ,19-Jan,85.54,4.448984103
Asus ROG Phone 2,Asus,ROG Phone 2,6000,6.59,Yes,1080,2340,8,8000,128,48,24,Android,Yes,Yes,Yes,1,Yes,Yes,37999,$899 ,19-Jul,1098.578,7.001771895
Vivo Z1 Pro,Vivo,Z1 Pro,5000,6.53,Yes,1080,2340,8,4000,64,16,32,Android,Yes,Yes,Yes,2,Yes,Yes,12990,$215 ,19-Jul,262.73,5.571126889
Xiaomi Mi A3,Xiaomi,Mi A3,4030,6.08,Yes,720,1560,8,4000,64,48,32,Android,Yes,Yes,Yes,2,Yes,Yes,11845,$250 ,19-Jul,305.5,5.721949779
Realme 3i,Realme,3i,4230,6.2,Yes,720,1520,8,3000,32,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,6999,$130 ,19-Jul,158.86,5.068023311
Honor 9X,Honor,9X,4000,6.59,Yes,1080,2340,8,4000,128,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,13999,$200 ,19-Jul,244.4,5.498806227
Tecno Phantom 9,Tecno,Phantom 9,3500,6.4,Yes,1080,2340,8,6000,128,16,32,Android,Yes,Yes,Yes,2,Yes,Yes,12999,$210 ,19-Jul,256.62,5.547596391
Samsung Galaxy A80,Samsung,Galaxy A80,3700,6.7,Yes,1080,2400,8,8000,128,48,0,Android,Yes,Yes,Yes,2,Yes,Yes,35990,$670 ,19-Jul,818.74,6.707766573
Xiaomi Redmi K20 Pro,Xiaomi,Redmi K20 Pro,4000,6.39,Yes,1080,2340,8,6000,128,48,20,Android,Yes,Yes,Yes,2,No,No,23190,$360 ,19-Jun,439.92,6.086592892
Xiaomi Redmi K20,Xiaomi,Redmi K20,4000,6.39,Yes,1080,2340,8,6000,64,48,20,Android,Yes,Yes,Yes,2,Yes,Yes,19282,$290 ,19-Jun,354.38,5.870369784
Asus 6Z,Asus,6Z,5000,6.4,Yes,1080,2340,8,6000,64,48,48,Android,Yes,Yes,Yes,2,Yes,Yes,27999,$500 ,19-Jun,611,6.415096959
Samsung Galaxy M40,Samsung,Galaxy M40,3500,6.3,Yes,1080,2340,8,6000,128,32,16,Android,Yes,Yes,Yes,2,Yes,Yes,16879,$290 ,19-Jun,354.38,5.870369784
LG G8s ThinQ,LG,G8s ThinQ,3550,6.2,Yes,1080,2248,8,6000,64,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,39990,$620 ,19-Jun,757.64,6.630208339
LG W30,LG,W30,4000,6.26,Yes,720,1520,8,3000,32,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,8499,$130 ,19-Jun,158.86,5.068023311
Vivo Y12,Vivo,Y12,5000,6.35,Yes,720,1544,8,3000,64,8,8,Android,Yes,Yes,Yes,2,Yes,Yes,9550,$175 ,19-Jun,213.85,5.365274835
Huawei P30 Pro,Huawei,P30 Pro,4200,6.47,Yes,1080,2340,8,8000,256,40,32,Android,Yes,Yes,No,2,Yes,Yes,54280,$999 ,19-Mar,1220.778,7.107243639
Redmi Note 7 Pro,Xiaomi,Redmi Note 7 Pro,4000,6.3,Yes,1080,2340,8,4000,64,48,13,Android,Yes,Yes,Yes,2,Yes,Yes,9799,$200 ,19-Mar,244.4,5.498806227
Black Shark 2,Black Shark,2,4000,6.39,Yes,1080,2340,8,6000,128,48,20,Android,Yes,Yes,Yes,2,Yes,Yes,29999,$480 ,19-Mar,586.56,6.374274965
Xiaomi Redmi 7,Xiaomi,Redmi 7,4000,6.26,Yes,720,1520,8,2000,16,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,7332,$130 ,19-Mar,158.86,5.068023311
Samsung Galaxy M30,Samsung,Galaxy M30,5000,6.4,Yes,1080,2340,8,3000,32,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,9499,$210 ,19-Mar,256.62,5.547596391
Infinix Hot 7,Infinix,Hot 7,4000,6.19,Yes,720,1500,8,4000,64,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,9990,$100 ,19-Mar,122.2,4.805659047
Oppo A5s,Oppo,A5s,4230,6.2,Yes,1520,720,8,2000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,7935,$150 ,19-Mar,183.3,5.211124155
Vivo S1,Vivo,S1,4500,6.38,Yes,1080,2340,8,4000,128,16,32,Android,Yes,Yes,Yes,2,No,No,14979,$300 ,19-Mar,366.6,5.904271335
Realme 3,Realme,3,4230,6.2,Yes,720,1520,8,3000,32,13,13,Android,Yes,Yes,Yes,2,Yes,Yes,8490,$125 ,19-Mar,152.75,5.028802598
Vivo V15,Vivo,V15,4000,6.53,Yes,1080,2340,8,6000,64,12,32,Android,Yes,Yes,Yes,2,Yes,Yes,14990,$350 ,19-Mar,427.7,6.058422015
Tecno Camon i4,Tecno,Camon i4,3500,6.2,Yes,720,1520,4,2000,32,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,6933,$140 ,19-Mar,171.08,5.142131283
Vivo Y91i,Vivo,Y91i,4030,6.22,Yes,720,1520,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,6799,$115 ,19-Mar,140.53,4.945420989
Panasonic Eluga Ray 800,Panasonic,Eluga Ray 800,4000,5.5,Yes,1080,1920,8,4000,64,13,8,Android,Yes,Yes,No,2,Yes,Yes,6488,$140 ,19-Mar,171.08,5.142131283
Lava Z40,Lava,Z40,2250,4,Yes,400,800,4,1000,8,2,2,Android,Yes,Yes,Yes,2,Yes,Yes,3499,$50 ,19-Mar,61.1,4.112511866
Oppo K3,Oppo,K3,3765,6.5,Yes,1080,2340,8,6000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,23990,$230 ,19-May,281.06,5.63856817
Realme X,Realme,X,3765,6.53,Yes,1080,2340,8,4000,128,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,14999,$230 ,19-May,281.06,5.63856817
OnePlus 7 Pro,OnePlus,7 Pro,4000,6.67,Yes,1440,3120,8,6000,128,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,39995,$669 ,19-May,817.518,6.706272921
Redmi Note 7S,Xiaomi,Redmi Note 7S,4000,6.3,Yes,1080,2340,8,3000,32,48,13,Android,Yes,Yes,Yes,2,Yes,Yes,8649,$160 ,19-May,195.52,5.275662676
Motorola One Vision,Motorola,One Vision,3500,6.3,Yes,1080,2520,8,4000,128,48,25,Android,Yes,Yes,Yes,2,Yes,Yes,13690,$335 ,19-May,409.37,6.014619393
Nubia Red Magic 3,Nubia,Red Magic 3,5000,6.65,Yes,1080,2340,8,8000,128,48,16,Android,Yes,Yes,No,2,Yes,Yes,35999,$479 ,19-May,585.338,6.372189458
Google Pixel 3a XL,Google,Pixel 3a XL,3700,6,Yes,1080,2160,8,4000,64,12.2,8,Android,Yes,Yes,Yes,1,Yes,Yes,34999,$479 ,19-May,585.338,6.372189458
OnePlus 7,OnePlus,7,3700,6.41,Yes,1080,2340,8,6000,128,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,29999,$480 ,19-May,586.56,6.374274965
Google Pixel 3a,Google,Pixel 3a,3000,5.6,Yes,1080,2220,8,4000,64,12.2,8,Android,Yes,Yes,Yes,1,Yes,Yes,30999,$399 ,19-May,487.578,6.189450278
Redmi 7A,Xiaomi,Redmi 7A,4000,5.45,Yes,720,1440,8,2000,16,12,5,Android,Yes,Yes,Yes,2,Yes,Yes,5499,$80 ,19-May,97.76,4.582515495
Infinix S4,Infinix,S4,4000,6.21,Yes,720,1520,8,3000,32,13,32,Android,Yes,Yes,Yes,2,No,No,7999,$140 ,19-May,171.08,5.142131283
Realme C2,Realme,C2,4000,6.1,Yes,720,1560,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,5999,$85 ,19-May,103.87,4.643140117
Nokia 4.2,Nokia,4.2,3000,5.71,Yes,720,1520,8,3000,32,13,8,Android,Yes,Yes,Yes,1,No,No,7999,$190 ,19-May,232.18,5.447512933
Nokia 3.2,Nokia,3.2,4000,6.26,Yes,720,1520,4,2000,16,13,5,Android,Yes,Yes,Yes,1,No,No,6690,$150 ,19-May,183.3,5.211124155
Itel A46,Itel,A46,2400,5.45,Yes,720,1440,8,2000,16,8,5,Android,No,No,No,1,No,No,4450,$70 ,19-May,85.54,4.448984103
Oppo Reno,Oppo,Reno,3765,6.4,Yes,1080,2340,8,8000,128,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,26990,$460 ,19-May,562.12,6.33171535
OnePlus 7T Pro McLaren Edition,OnePlus,7T Pro McLaren Edition,4085,6.67,Yes,1440,3120,8,12000,256,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,58998,$899 ,19-Nov,1098.578,7.001771895
LG G8X ThinQ,LG,G8X ThinQ,4000,6.4,Yes,1080,2340,8,6000,128,12,32,Android,Yes,Yes,Yes,1,No,No,49990,$699 ,19-Nov,854.178,6.750139603
Vivo U20,Vivo,U20,5000,6.53,Yes,1080,2340,8,4000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,10990,$175 ,19-Nov,213.85,5.365274835
Realme 5s,Realme,5s,5000,6.5,Yes,720,1600,8,4000,64,48,13,Android,Yes,Yes,Yes,2,Yes,Yes,9999,$140 ,19-Nov,171.08,5.142131283
Vivo S1 Pro,Vivo,S1 Pro,4500,6.38,Yes,1080,2340,8,8000,128,48,32,Android,Yes,Yes,Yes,2,Yes,Yes,18599,$280 ,19-Nov,342.16,5.835278464
Infinix S5 Lite,Infinix,S5 Lite,4000,6.5,Yes,720,1600,8,4000,64,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,8999,$120 ,19-Nov,146.64,4.987980604
Tecno Spark Power,Tecno,Spark Power,6000,6.35,Yes,720,1548,8,4000,64,13,13,Android,Yes,Yes,No,2,Yes,Yes,8499,$120 ,19-Nov,146.64,4.987980604
Vivo Y19,Vivo,Y19,5000,6.53,Yes,1080,2340,8,4000,128,16,16,Android,Yes,Yes,Yes,2,Yes,Yes,13990,$195 ,19-Nov,238.29,5.473488419
Lava Z41,Lava,Z41,2500,5,Yes,480,854,4,1000,16,5,2,Android,Yes,Yes,Yes,2,No,No,3899,$55 ,19-Nov,67.21,4.207822046
Realme X2 Pro,Realme,X2 Pro,4000,6.5,Yes,1080,2400,8,6000,64,64,16,Android,Yes,Yes,Yes,2,Yes,Yes,27999,$420 ,19-Oct,513.24,6.240743572
OnePlus 7T Pro,OnePlus,7T Pro,4085,6.67,Yes,1440,3120,8,8000,256,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,52990,$699 ,19-Oct,854.178,6.750139603
Motorola Moto G8 Plus,Motorola,Moto G8 Plus,4000,6.3,Yes,1080,2280,8,4000,64,48,25,Android,Yes,Yes,Yes,2,Yes,Yes,12999,$310 ,19-Oct,378.82,5.937061158
Motorola One Macro,Motorola,One Macro,4000,6.2,Yes,720,1520,8,4000,64,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,8999,$140 ,19-Oct,171.08,5.142131283
Redmi 8,Xiaomi,Redmi 8,5000,6.22,Yes,720,1520,8,4000,64,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,7999,$115 ,19-Oct,140.53,4.945420989
Infinix S5,Infinix,S5,4000,6.6,Yes,720,1600,8,4000,64,16,32,Android,Yes,Yes,Yes,2,Yes,Yes,8999,$150 ,19-Oct,183.3,5.211124155
Coolpad Cool 5,Coolpad,Cool 5,4000,6.22,Yes,720,1520,8,4000,64,13,16,Android,Yes,Yes,Yes,1,No,No,6999,$110 ,19-Oct,134.42,4.900969227
Tecno Camon 12 Air,Tecno,Camon 12 Air,4000,6.55,Yes,720,1600,8,4000,64,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,9960,$140 ,19-Oct,171.08,5.142131283
Micromax iOne Note,Micromax,iOne Note,3950,6.09,Yes,720,1560,8,2000,16,13,5,Android,Yes,Yes,Yes,2,Yes,Yes,6694,$115 ,19-Oct,140.53,4.945420989
Google Pixel 4 XL,Google,Pixel 4 XL,3700,6.3,Yes,1440,3040,8,6000,64,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,83900,$899 ,19-Oct,1098.578,7.001771895
Google Pixel 4,Google,Pixel 4,2800,5.7,Yes,1080,2280,8,6000,64,16,8,Android,Yes,Yes,Yes,2,Yes,Yes,69500,$799 ,19-Oct,976.378,6.883849807
iPhone 11 Pro Max,Apple,iPhone 11 Pro Max,3969,6.5,Yes,1242,2688,6,4000,64,12,12,iOS,Yes,Yes,Yes,2,Yes,Yes,106900,"$1,099 ",19-Sep,1342.978,7.202644815
iPhone 11,Apple,iPhone 11,3110,6.1,Yes,828,1792,6,4000,64,12,12,iOS,Yes,Yes,Yes,2,Yes,Yes,62900,$699 ,19-Sep,854.178,6.750139603
OnePlus 7T,OnePlus,7T,3800,6.55,Yes,1080,2400,8,8000,128,48,16,Android,Yes,Yes,No,2,Yes,Yes,34930,$599 ,19-Sep,731.978,6.595750459
Realme X2,Realme,X2,4000,6.4,Yes,1080,2340,8,4000,64,64,32,Android,Yes,Yes,Yes,2,Yes,Yes,16999,$225 ,19-Sep,274.95,5.616589263
Vivo V17 Pro,Vivo,V17 Pro,4100,6.44,Yes,1080,2400,8,8000,128,48,32,Android,Yes,Yes,Yes,2,Yes,Yes,26220,$420 ,19-Sep,513.24,6.240743572
Nubia Red Magic 3S,Nubia,Red Magic 3S,5000,6.65,Yes,1080,2340,8,8000,128,48,16,Android,Yes,Yes,No,2,Yes,Yes,47999,$479 ,19-Sep,585.338,6.372189458
Samsung Galaxy M30s,Samsung,Galaxy M30s,6000,6.4,Yes,1080,2340,8,4000,64,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,12999,$210 ,19-Sep,256.62,5.547596391
Vivo Z1x,Vivo,Z1x,4500,6.38,Yes,1080,2340,8,4000,128,48,32,Android,Yes,Yes,Yes,2,Yes,Yes,15990,$240 ,19-Sep,293.28,5.681127784
Realme XT,Realme,XT,4000,6.4,Yes,1080,2340,8,4000,64,64,16,Android,Yes,Yes,Yes,2,Yes,Yes,14999,$200 ,19-Sep,244.4,5.498806227
Nokia 7.2,Nokia,7.2,3500,6.3,Yes,1080,2340,8,4000,64,48,20,Android,Yes,Yes,No,2,Yes,Yes,15377,$350 ,19-Sep,427.7,6.058422015
Vivo U10,Vivo,U10,5000,6.35,Yes,720,1544,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,8990,$125 ,19-Sep,152.75,5.028802598
Redmi 8A,Xiaomi,Redmi 8A,5000,6.22,Yes,720,1520,8,2000,32,12,8,Android,Yes,Yes,Yes,2,Yes,Yes,6499,$110 ,19-Sep,134.42,4.900969227
Oppo A9 2020,Oppo,A9 2020,5000,6.5,Yes,720,1600,8,4000,128,48,16,Android,Yes,Yes,Yes,2,Yes,Yes,14730,$240 ,19-Sep,293.28,5.681127784
Samsung Galaxy M10s,Samsung,Galaxy M10s,4000,6.4,Yes,720,1520,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,8499,$125 ,19-Sep,152.75,5.028802598
Infinix Hot 8,Infinix,Hot 8,5000,6.52,Yes,720,1600,8,4000,64,13,8,Android,Yes,Yes,Yes,2,No,No,8000,$100 ,19-Sep,122.2,4.805659047
Moto E6s,Motorola,Moto E6s,3000,6.1,Yes,720,1560,8,4000,64,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,6999,$130 ,19-Sep,158.86,5.068023311
Lenovo K10 Plus,Lenovo,K10 Plus,4050,6.22,Yes,720,1520,8,4000,64,13,16,Android,Yes,Yes,Yes,2,Yes,Yes,10999,$155 ,19-Sep,189.41,5.243913978
Samsung Galaxy A70s,Samsung,Galaxy A70s,4500,6.7,Yes,1080,2400,8,6000,128,64,32,Android,Yes,Yes,Yes,1,No,No,25999,$410 ,19-Sep,501.02,6.21664602
iPhone 11 Pro,Apple,iPhone 11 Pro,3046,5.8,Yes,1125,2436,6,4000,64,12,12,iOS,Yes,Yes,Yes,2,Yes,Yes,96900,$999 ,19-Sep,1220.778,7.107243639
Samsung Galaxy A20s,Samsung,Galaxy A20s,4000,6.5,Yes,720,1560,8,3000,32,13,8,Android,Yes,Yes,Yes,2,Yes,Yes,10999,$170 ,19-Sep,207.74,5.336287298
Huawei Mate 30 Pro,Huawei,Mate 30 Pro,4500,6.53,Yes,1176,2400,8,8000,128,40,32,Android,Yes,Yes,Yes,2,Yes,Yes,77299,"$1,200 ",19-Sep,1466.4,7.290565697
LG W30 Pro,LG,W30 Pro,4050,6.22,Yes,720,1520,8,4000,64,13,16,Android,Yes,Yes,No,2,Yes,Yes,12480,$175 ,19-Sep,213.85,5.365274835
Samsung Galaxy Fold,Samsung,Galaxy Fold,4380,7.3,Yes,1536,2152,8,12000,512,16,10,Android,Yes,Yes,Yes,2,Yes,Yes,164999,"$1,980 ",19-Sep,2419.56,7.791340984
